id_transacao,nome,email,cartao,data,valor,localizacao,ip,fraude
d10be041-c5d0-42de-8cd1-16946abcdcd5,Ryan Krueger,patrick51@example.net,6594500668146804,2025-05-31 03:14:26,4072.44,Jordanshire,157.42.220.92,0
b497e995-869f-4aed-a461-40bc6290fa64,Rachel Montgomery,johnbell@example.com,4323546863691801983,2025-05-26 09:41:20,421.9,Lake Ashleyview,67.206.154.214,0
2fcc3674-1656-4aa8-8739-bdc8b714e890,Justin Mason,jacobsanchez@example.org,348319271003365,2025-06-08 12:46:22,3358.46,Hendersonton,88.107.196.95,0
2fbdccb3-e77e-4e91-80ec-2c6353536df1,Amy Abbott,jyu@example.net,372048216458355,2025-06-07 19:20:41,4317.01,West Kristinhaven,220.172.136.74,0
d14a4225-843e-4af7-8af3-ed4d0bc252c5,Robert Williams,parkerkevin@example.net,565455587339,2025-05-23 16:21:53,1494.68,Orozcochester,76.255.122.115,0
72754a41-6cba-4326-a81c-a713d5b9d48d,Marissa Miller,bthomas@example.org,4899050124391096,2025-05-22 10:59:41,3727.97,Chapmanville,48.153.232.161,0
6d0edcbb-4324-4db8-aacb-11b66e65415d,Emma Herrera,morrisonkathryn@example.com,3518762138462191,2025-05-22 13:01:39,3686.6,New Christian,61.76.196.110,0
2686bfe6-c692-4486-be08-5264e84faf90,Robert Jimenez,glassbryan@example.org,4153580337668469,2025-05-22 11:38:25,4767.6,Welchhaven,170.174.93.183,0
721e1cba-e837-4fdb-88da-938f2e0d39c4,Yolanda Wall,cwilliamson@example.com,4048837843720705976,2025-05-26 16:45:03,1009.05,North Thomas,46.152.137.129,0
a832f97f-14cc-45a7-af2f-7744784ca76a,Erin Roberts,rowesusan@example.com,4162740474197370,2025-05-16 22:56:09,677.46,Laramouth,64.152.83.15,0
178c31bd-0d57-4281-8beb-a296048d2b25,Tony Bennett,ryanbutler@example.net,180091112660940,2025-06-04 22:49:58,486.03,Michaelchester,15.58.15.119,0
c7c36686-2d58-4e70-87e8-b4a3d879ea56,Jonathan Alvarez,jacob64@example.com,501870903991,2025-05-21 05:27:24,830.93,Michelleburgh,50.49.81.82,0
d9575406-9317-4072-9ece-5c47d8d3bd19,Allison Webster,deanjasmine@example.com,30427292977708,2025-05-16 09:57:59,1330.16,East Mary,65.141.223.173,1
b3f56199-d64f-4a5d-98ba-3feb4fc5e3b7,Christine Petersen,andersenjennifer@example.com,4905194529493685,2025-06-09 22:23:04,4870.48,Longburgh,213.74.110.227,0
b65b8bb7-5b38-4e35-98fd-014a7d69d55a,Michael Martin,alfredcohen@example.org,2532063776228026,2025-05-28 04:19:39,4503.28,Jacquelineshire,217.96.6.193,0
c90de9bb-8bbd-4bc2-a8ff-a37c8b2fd92b,Elizabeth George,mark24@example.com,2418168502464883,2025-06-07 01:01:56,3574.92,Christinemouth,188.50.194.12,1
8e651135-adde-4557-bdb8-a4936bdb0301,Lindsey Miller,ashleynicholson@example.org,3585688954032800,2025-05-12 09:13:00,2722.46,Salazarfurt,201.31.97.175,1
8140de72-684b-46fb-b82f-0cf88bbbdc0b,Vanessa Avila,megancooper@example.com,3570637462749121,2025-05-22 20:00:32,3576.71,North Michelleport,197.200.225.41,0
